gentle: ['-21.81', '-170.03', '-431.68']
modify: ['-11.90', '-221.04', '-596.82']
cold: ['-898.46', '-4.63', '-309.86']
sleep: ['-733.68', '-23.12', '-158.11']
zone: ['-19.96', '-423.98', '-179.23']
devil: ['-151.70', '-170.51', '-51.27']
gravity: ['-1429.11', '-0.04', '-780.75']
immunity: ['-311.54', '-254.52', '-13.10']
death: ['-76.67', '-62.54', '-786.96']
speech: ['-1149.84', '-0.00', '-1029.88']
non-: ['-5.92', '-329.31', '-389.49']
brew: ['-542.74', '-85.05', '-56.49']
warding: ['-73.72', '-75.78', '-294.06']
fissure: ['-473.98', '-674.19', '-1.00']
awakening: ['-453.27', '-21.45', '-170.21']
staggering: ['-25.59', '-161.88', '-358.80']
dead: ['-292.14', '-5.56', '-848.60']
restoration: ['-305.15', '-31.56', '-149.89']
bolt: ['-579.57', '-192.12', '-16.19']
friendship: ['-237.08', '-56.83', '-107.85']
pattern: ['-202.76', '-207.70', '-29.70']
sickening: ['-31.98', '-134.29', '-437.26']
contingency: ['-49.89', '-95.96', '-462.92']
swarm: ['-621.01', '-209.75', '-13.33']
sleet: ['-1517.60', '-7.18', '-266.96']
path: ['-449.15', '-119.19', '-37.81']
summon: ['-99.85', '-131.15', '-101.57']
mirage: ['-418.73', '-36.14', '-124.44']
feather: ['-24.83', '-257.06', '-194.21']
blank: ['-575.58', '-372.37', '-2.77']
freezing: ['-18.35', '-196.79', '-357.83']
weapon: ['-334.32', '-89.04', '-59.03']
time: ['-1165.27', '-0.42', '-548.15']
truth: ['-712.21', '-0.10', '-838.72']
disintigrate: ['-165.70', '-108.84', '-74.96']
flood: ['-740.81', '-310.46', '-4.65']
kill: ['-314.42', '-12.50', '-259.87']
faith: ['-263.33', '-7.48', '-827.32']
sense: ['-808.25', '-270.53', '-6.95']
knock: ['-329.58', '-21.73', '-184.37']
orb: ['-83.94', '-138.17', '-114.93']
hideous: ['-57.96', '-83.01', '-555.52']
cordon: ['-60.23', '-243.55', '-100.82']
ice: ['-175.40', '-28.82', '-256.02']
void: ['-1036.02', '-9.17', '-243.48']
star(s: ['-165.70', '-108.84', '-74.96']
wish: ['-990.53', '-0.00', '-1828.83']
comprehend: ['-6.55', '-285.04', '-518.83']
life: ['-868.72', '-6.06', '-283.66']
freeze: ['-241.31', '-17.69', '-262.29']
quiver: ['-531.69', '-322.95', '-4.55']
warp: ['-239.76', '-258.35', '-18.21']
compulsion: ['-220.88', '-62.85', '-103.06']
toll: ['-6.79', '-283.86', '-494.53']
zephyr: ['-216.71', '-12.92', '-501.21']
searing: ['-6.73', '-296.74', '-429.22']
