discovered: ['-0.06', '-749.31', '-1265.39']
innovation: ['-346.05', '-317.68', '-7.59']
functions: ['-694.12', '-15.68', '-193.66']
thumb: ['-441.13', '-121.89', '-36.77']
play: ['-1071.68', '-265.45', '-7.30']
lay: ['-1325.12', '-0.00', '-1312.23']
wisdom: ['-763.98', '-2.90', '-357.08']
ambassador: ['-147.63', '-286.77', '-33.59']
placement: ['-558.20', '-7.27', '-271.26']
chemistry: ['-484.46', '-0.85', '-749.47']
special: ['-245.02', '-9.03', '-918.92']
theoretical: ['-413.27', '-1.62', '-1062.72']
sheet: ['-15.11', '-667.44', '-197.36']
doe: ['-524.91', '-23.57', '-158.61']
thick: ['-109.00', '-51.67', '-269.83']
immigration: ['-648.41', '-2.12', '-393.95']
rom: ['-400.75', '-2.31', '-536.42']
ethical: ['-42.60', '-112.22', '-384.77']
connectivity: ['-6.24', '-456.83', '-299.41']
commit: ['-470.33', '-17.07', '-191.13']
presented: ['-0.40', '-554.41', '-990.18']
spies: ['-440.17', '-624.90', '-1.43']
waters: ['-727.89', '-1353.29', '-0.07']
pvc: ['-46.07', '-1315.19', '-99.65']
occupied: ['-2.69', '-442.32', '-423.04']
governance: ['-182.31', '-21.39', '-347.25']
roses: ['-628.43', '-38.00', '-115.75']
concentrations: ['-508.08', '-33.44', '-128.01']
aye: ['-477.14', '-0.85', '-1159.41']
modeling: ['-813.14', '-0.03', '-1148.73']
sign: ['-915.83', '-518.18', '-0.57']
motor: ['-1.56', '-416.79', '-1318.73']
papua: ['-401.39', '-72.38', '-69.91']
margin: ['-1.79', '-403.90', '-940.85']
presentations: ['-184.75', '-28.56', '-239.91']
tend: ['-0.26', '-593.83', '-2170.27']
endif: ['-9.01', '-382.53', '-274.29']
pension: ['-880.18', '-0.28', '-594.94']
macro: ['-21.94', '-210.17', '-259.37']
spanking: ['-50.78', '-104.05', '-310.38']
tissue: ['-1447.33', '-0.00', '-1027.86']
rocket: ['-1033.43', '-287.90', '-5.79']
millions: ['-147.11', '-243.71', '-38.14']
finances: ['-136.79', '-91.11', '-106.93']
dicke: ['-165.70', '-108.84', '-74.96']
schedule: ['-113.21', '-86.57', '-135.91']
studios: ['-32.43', '-538.67', '-130.07']
fees: ['-804.41', '-0.03', '-1732.51']
wing: ['-0.00', '-1337.37', '-1606.48']
compliant: ['-4.29', '-376.84', '-397.05']
physical: ['-1047.86', '-0.01', '-959.57']
disaster: ['-419.73', '-24.38', '-160.27']
conferences: ['-58.80', '-86.20', '-380.59']
renewal: ['-282.35', '-548.31', '-6.57']
lending: ['-33.90', '-445.60', '-128.78']
suggest: ['-0.16', '-643.46', '-1156.47']
figures: ['-953.99', '-0.60', '-513.26']
strike: ['-88.74', '-413.78', '-55.81']
reviewing: ['-30.65', '-133.69', '-661.07']
socket: ['-458.82', '-598.10', '-1.28']
auctions: ['-301.76', '-12.38', '-269.52']
sought: ['-790.81', '-41.36', '-108.36']
plumbing: ['-0.25', '-617.18', '-779.79']
wave: ['-82.58', '-315.15', '-65.53']
society: ['-491.11', '-6.06', '-296.83']
combination: ['-97.77', '-301.03', '-55.42']
valium: ['-219.59', '-12.80', '-472.28']
theft: ['-34.16', '-369.28', '-133.00']
funded: ['-0.17', '-1011.18', '-642.35']
done: ['-0.01', '-944.89', '-1535.97']
arrivals: ['-89.26', '-234.27', '-70.45']
creations: ['-358.80', '-16.69', '-207.12']
potential: ['-626.71', '-3.53', '-341.68']
poems: ['-0.09', '-925.52', '-715.80']
bond: ['-59.58', '-80.25', '-731.54']
flame: ['-686.25', '-1.54', '-425.05']
merry: ['-0.02', '-898.41', '-1030.17']
temporal: ['-18.63', '-177.86', '-683.24']
devoted: ['-0.00', '-1052.02', '-1656.92']
cells: ['-0.15', '-1200.13', '-647.59']
fares: ['-1165.83', '-0.05', '-766.05']
languages: ['-467.89', '-306.85', '-5.74']
platform: ['-58.52', '-223.41', '-109.09']
violin: ['-178.79', '-716.95', '-18.40']
famous: ['-1.53', '-666.71', '-427.35']
worn: ['-51.53', '-263.69', '-110.53']
appreciated: ['-79.28', '-60.58', '-633.97']
pop: ['-181.37', '-125.60', '-59.39']
dial: ['-373.53', '-1202.46', '-2.42']
begun: ['-0.65', '-1140.31', '-503.85']
angle: ['-927.40', '-289.35', '-5.71']
armed: ['-283.37', '-446.83', '-7.29']
census: ['-910.22', '-1.91', '-397.26']
bath: ['-634.35', '-455.33', '-1.24']
continuous: ['-0.40', '-820.48', '-560.22']
equations: ['-1054.90', '-1.54', '-418.21']
conclude: ['-0.02', '-848.13', '-1301.71']
fossil: ['-120.83', '-35.49', '-940.53']
important: ['-263.98', '-7.41', '-1024.82']
measurement: ['-1215.32', '-0.00', '-1206.18']
bean: ['-725.94', '-7.28', '-266.67']
naughty: ['-30.74', '-137.59', '-441.81']
spirits: ['-17.47', '-188.82', '-472.00']
copied: ['-0.44', '-819.62', '-548.91']
candidates: ['-188.60', '-36.76', '-185.83']
investor: ['-13.56', '-702.81', '-207.20']
nations: ['-1220.83', '-833.00', '-0.02']
attorneys: ['-0.00', '-1464.55', '-1035.59']
sing: ['-62.36', '-88.95', '-293.50']
projectors: ['-242.98', '-16.86', '-270.10']
sex: ['-1929.24', '-0.00', '-1347.02']
mounting: ['-94.75', '-61.27', '-265.39']
keeps: ['-982.90', '-1776.74', '-0.01']
bloom: ['-581.80', '-426.26', '-1.72']
mug: ['-630.09', '-406.86', '-1.91']
modifications: ['-744.38', '-1.30', '-439.85']
simplified: ['-0.13', '-676.97', '-871.90']
climbing: ['-453.86', '-36.65', '-121.70']
gamecube: ['-1257.23', '-0.97', '-464.33']
hats: ['-297.84', '-914.80', '-5.23']
moderate: ['-201.99', '-14.23', '-1269.51']
injuries: ['-615.35', '-38.04', '-115.74']
offer: ['-3.40', '-527.94', '-356.27']
opposed: ['-428.24', '-119.91', '-37.87']
lion: ['-918.57', '-69.40', '-69.25']
docs: ['-674.41', '-231.42', '-10.54']
inexpensive: ['-0.08', '-713.68', '-1258.44']
photographs: ['-35.71', '-140.92', '-288.27']
